OrderID,CustomerName,Region,Country,Product,Category,Sales,Quantity,Discount,Profit,OrderDate,ShipDate,SalesRep,Channel,PaymentMethod,CustomerSegment,City,State,PostalCode,Phone,Email,ReturnStatus,ShippingCost,Priority,Warehouse,StockLevel,Supplier,Rating,Comments,Currency
0.0,Priya,North,0,0,Furniture,5266.38,0.0,0.32,0.0,2024-7-2,2024-2-5,Karan,0,NetBanking,0,0,0,0.0,0.0,email0@mail.com,Yes,46.28,0,0,130.0,Supplier2,0.0,0,INR
1.0,Rahul,East,India,Monitor,Office,9730.01,3.0,0.1,0.0,2024-5-12,2024-6-2,Karan,Online,UPI,0,City5,State9,0.0,9617054132.0,email1@mail.com,No,458.93,Low,WH2,112.0,Supplier4,2.0,Bad,EUR
2.0,Priya,0,0,Printer,Electronics,1439.61,10.0,0.22,0.0,2024-1-27,2024-10-22,0,0,Card,0,City6,0,130777.0,9807265195.0,0,No,169.2,High,0,0.0,0,0.0,0,USD
3.0,Rahul,North,0,Monitor,Office,0.0,18.0,0.0,2852.82,2024-2-6,0,Priya,Offline,NetBanking,Home Office,City7,State8,0.0,9555283261.0,email3@mail.com,Yes,371.4,High,WH2,143.0,Supplier1,4.6,0,INR
4.0,Ankit,0,UK,Monitor,0,3598.23,6.0,0.47,-150.68,2024-10-19,2024-5-19,0,0,Cash,Corporate,City16,State4,469912.0,9963409964.0,0,0,426.12,High,WH4,0.0,Supplier1,0.0,Average,0
5.0,Vikas,North,USA,Phone,Electronics,1895.35,3.0,0.45,869.01,2024-2-28,2024-12-24,0,0,Cash,0,City5,State5,222527.0,0.0,0,0,144.56,High,WH1,0.0,0,2.7,Bad,0
6.0,Pooja,0,0,0,Furniture,3275.32,7.0,0.0,212.87,2024-9-19,2024-3-28,0,0,UPI,Corporate,City7,0,0.0,9493933648.0,0,No,289.41,0,WH4,173.0,0,1.2,0,EUR
7.0,Vikas,East,India,Monitor,Furniture,0.0,4.0,0.0,552.24,2024-1-10,2024-6-4,Sneha,0,NetBanking,0,City3,0,497779.0,9215060437.0,email7@mail.com,Yes,0.0,Medium,WH3,0.0,Supplier5,4.5,Good,0
8.0,Vikas,0,USA,Printer,0,0.0,16.0,0.0,0.0,2024-6-4,0,Karan,0,Cash,0,0,State5,848369.0,9623710280.0,email8@mail.com,Yes,441.16,0,WH2,368.0,Supplier2,3.8,0,INR
9.0,Sneha,East,UK,Phone,Electronics,9215.87,0.0,0.03,283.9,2024-11-14,2024-12-26,Pooja,0,NetBanking,0,City16,State4,687086.0,0.0,email9@mail.com,No,125.27,High,WH2,169.0,Supplier7,2.9,Good,EUR
10.0,Vikas,0,UK,0,0,3134.15,0.0,0.27,249.31,0,2024-9-27,Karan,0,Card,0,City19,State7,862170.0,9957703783.0,0,0,0.0,0,WH2,68.0,Supplier1,1.0,Bad,INR
11.0,Priya,West,0,Tablet,0,0.0,12.0,0.0,740.65,2024-5-2,0,Sneha,Offline,0,Corporate,City16,0,0.0,9667489104.0,email11@mail.com,No,114.53,0,0,252.0,Supplier7,3.0,0,EUR
12.0,Neha,North,0,Printer,Office,6473.86,2.0,0.24,1404.22,0,0,Neha,Offline,0,Consumer,City18,State7,670878.0,0.0,email12@mail.com,0,0.0,Low,WH3,500.0,Supplier2,0.0,0,0
